City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,atafu village,-8.5421,-172.5159,28.15,75,57,9.03,TK,1724609653
229,san martin,-33.081,-68.4681,15.39,21,0,6.25,AR,1724609654
230,anna regina,7.2644,-58.5077,30.79,63,81,4.34,GY,1724609655
231,kwaksan,39.6875,125.0828,22.78,87,100,2.09,KP,1724609657
232,madalena,41.2162,-8.3345,28.75,51,2,3.21,PT,1724609658
233,kingscliff,-28.2667,153.5667,18.89,94,3,4.63,AU,1724609659
234,tobruk,32.0836,23.9764,28.09,70,0,8.31,LY,1724609660
235,san jeronimito,17.55,-101.3333,33.91,59,40,5.14,MX,1724609661
236,kingston,17.997,-76.7936,32.87,66,40,7.2,JM,1724609202
237,west end,26.6833,-78.9667,28.89,74,45,3.7,BS,1724609659
238,remire-montjoly,4.9167,-52.2667,32.02,70,20,4.12,GF,1724609665
239,tres arroyos,-38.3739,-60.2798,11.97,51,6,2.24,AR,1724609456
240,dunedin,-45.8742,170.5036,3.78,99,87,0.9,NZ,1724609668
241,laguna,38.421,-121.4238,24.02,49,0,4.12,US,1724609670
242,altensteig,48.5833,8.6,14.75,67,31,1.39,DE,1724609671
243,fort st. john,56.2499,-120.8529,17.94,48,40,7.2,CA,1724609672
244,amungan,15.3652,119.9582,26.96,81,98,1.71,PH,1724609673
245,mao,39.8885,4.2658,25.31,78,20,7.2,ES,1724609674
246,lerwick,60.1545,-1.1494,12.24,84,100,4.68,GB,1724609676
247,new norfolk,-42.7826,147.0587,10.51,86,71,2.46,AU,1724609677
248,igarka,67.4667,86.5833,9.26,82,57,3.85,RU,1724609678
249,balqash,46.8481,74.995,18.62,42,50,4.1,KZ,1724609679
250,duminichi,53.9345,35.1099,19.02,67,0,1.5,RU,1724609680
251,kerikeri,-35.2268,173.9474,8.42,94,36,1.14,NZ,1724609681
252,vila franca do campo,37.7167,-25.4333,26.23,60,98,0.92,PT,1724609683
253,ndioum,16.5129,-14.6471,34.69,45,56,5.5,SN,1724609684
254,saint-louis,16.3333,-15.0,34.53,45,46,4.46,SN,1724609685
255,parras de la fuente,25.4167,-102.1833,27.02,42,100,3.38,MX,1724609686
256,belmonte,-15.8631,-38.8828,26.11,56,16,3.8,BR,1724609687
257,nantong,32.0303,120.8747,27.08,86,79,3.62,CN,1724609688
258,carnarvon,-24.8667,113.6333,18.3,76,12,6.07,AU,1724609690
259,toliara,-23.35,43.6667,21.26,67,0,2.26,MG,1724609691
260,kapuskasing,49.4169,-82.4331,29.05,45,40,4.63,CA,1724609692
261,qamdo,31.1667,97.2333,6.89,77,37,1.7,CN,1724609693
262,vernon,50.2581,-119.2691,18.58,62,36,1.54,CA,1724609694
263,essaouira,31.5125,-9.77,28.72,65,1,6.69,MA,1724609696
264,mutoko,-17.397,32.2268,14.52,37,8,2.2,ZW,1724609697
265,ancud,-41.8697,-73.8203,8.72,78,100,5.53,CL,1724609698
266,ust-nera,64.5667,143.2,12.64,78,83,2.78,RU,1724609699
267,wynyard,-41.0,145.7167,11.13,86,86,7.13,AU,1724609700
268,tomar,39.602,-8.4092,27.4,48,2,6.43,PT,1724609701
269,howrah,22.5892,88.3103,27.0,94,100,4.63,IN,1724609703
270,daru,-9.0763,143.2092,24.38,83,95,7.46,PG,1724609704
271,chonchi,-42.6128,-73.8092,9.51,77,100,4.01,CL,1724609705
272,uturoa,-16.7333,-151.4333,25.11,76,100,11.38,PF,1724609706
273,suonenjoki,62.6167,27.1333,21.73,66,16,5.97,FI,1724609707
274,kununurra,-15.7667,128.7333,19.99,77,0,1.54,AU,1724609708
275,westport,41.1415,-73.3579,30.03,60,0,3.09,US,1724609707
276,queenstown,-31.8976,26.8753,12.82,20,2,2.55,ZA,1724609711
277,liwale,-9.7667,37.9333,24.13,48,67,3.47,TZ,1724609712
278,at taj,24.2049,23.2857,38.56,19,0,5.13,LY,1724609713
279,riyadh,24.6877,46.7219,38.13,15,11,4.14,SA,1724609714
280,dangriga,16.9692,-88.2321,30.01,65,96,4.06,BZ,1724609716
281,xianning,29.8833,114.2167,28.9,75,85,1.67,CN,1724609717
282,puerto colombia,10.9878,-74.9547,31.05,76,100,2.59,CO,1724609718
283,ed damer,17.5928,33.9592,33.53,45,56,6.61,SD,1724609719
284,portland,45.5234,-122.6762,22.02,67,40,2.57,US,1724609127
285,tannum sands,-23.9504,151.3693,15.97,94,100,3.09,AU,1724609721
286,weno,7.4515,151.8468,27.97,83,75,1.54,FM,1724609723
287,amethi,26.15,81.8167,27.12,81,15,2.67,IN,1724609724
288,pandan,14.0453,124.1694,26.6,86,99,2.69,PH,1724609725
289,maych'ew,12.7875,39.5422,15.45,91,67,1.51,ET,1724609726
290,la'ie,21.6477,-157.9253,25.66,85,65,5.36,US,1724609727
291,kogalym,62.2654,74.4791,11.99,71,83,5.1,RU,1724609681
292,pasni,25.2631,63.471,27.22,86,35,6.74,PK,1724609730
293,shamva,-17.3116,31.5756,17.63,34,15,1.79,ZW,1724609731
294,prado,-17.3411,-39.2208,25.66,61,6,5.21,BR,1724609732
295,ciudad lazaro cardenas,17.9583,-102.2,29.94,72,7,2.17,MX,1724609733
296,alesund,62.4723,6.1549,13.2,73,75,9.26,NO,1724609734
297,tomatlan,19.9333,-105.25,32.18,57,39,2.14,MX,1724609736
298,praya,14.9215,-23.5087,29.3,58,75,7.2,CV,1724609737
299,machico,32.7,-16.7667,23.35,78,40,6.69,PT,1724609738
300,tommot,58.9564,126.2925,10.94,97,34,1.58,RU,1724609533
301,porto franco,-6.3383,-47.3992,40.02,16,30,2.27,BR,1724609740
302,hanover park,41.9995,-88.1451,32.62,50,0,7.72,US,1724609681
303,alotau,-10.3069,150.4462,20.73,93,93,1.56,PG,1724609743
304,vorgashor,67.5833,63.95,12.29,80,85,2.09,RU,1724609744
305,opelika,32.6454,-85.3783,31.59,41,0,5.14,US,1724609498
306,kiunga,-6.1219,141.2906,22.78,99,100,1.62,PG,1724609746
307,kalmunai,7.4167,81.8167,27.69,73,17,0.18,LK,1724609747
308,suva,-18.1416,178.4415,20.71,94,75,4.12,FJ,1724609279
309,severo-yeniseyskiy,60.3725,93.0408,11.13,96,12,1.8,RU,1724609750
310,azadshahr,34.7909,48.5707,24.27,19,20,2.06,IR,1724609752
311,bom jesus da lapa,-13.255,-43.4181,36.22,14,3,2.62,BR,1724609753
312,praia da vitoria,38.7333,-27.0667,28.14,61,20,2.57,PT,1724609755
313,nuku'alofa,-21.1333,-175.2,22.19,100,100,5.14,TO,1724609756
314,camana,-16.6228,-72.7111,18.57,68,0,3.79,PE,1724609757
315,canyon,34.9803,-101.9188,38.21,26,2,3.13,US,1724609623
316,menongue,-14.6585,17.691,19.81,17,19,2.42,AO,1724609759
317,revda,56.801,59.9303,11.43,89,60,1.77,RU,1724609760
318,moussoro,13.6408,16.4901,26.66,74,100,3.69,TD,1724609762
319,leava,-14.3,-178.1667,26.75,79,91,7.25,WF,1724609763
320,sola,-13.8833,167.55,24.86,74,100,7.6,VU,1724609764
321,noumea,-22.2763,166.4572,22.78,99,86,4.31,NC,1724609765
